"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Capture Transaction Negative Validation","acquiring/capture","0","0","2","0","0"
"","Void Authorization Negative Validation","acquiring/process","0","0","2","0","0"
"","Transactions for EU","acquiring/process","0","0","6","0","0"
"","Refund Purchase Negative Validation","acquiring/process","1","0","4","0","0"
"","Create Payment Instrument Negative Validation","payment_instruments/create","0","0","10","0","0"
"","Capture Authorization","acquiring/capture","0","0","1","0","0"
"","Refund Purchase Negative Validation","acquiring/refund","0","0","2","0","0"
"","Void Authorization","acquiring/void","0","0","1","0","0"
"","Void Purchase","acquiring/void","0","0","1","0","0"
"","Get Payment Instrument Negative Validation","payment_instruments/get","0","0","3","0","0"
"","Transactions for EU","acquiring/void","0","0","2","0","0"
"","Partial Refund Purchase","acquiring/refund","0","0","2","0","0"
"","Transactions for EU","acquiring/capture","0","0","2","0","0"
"","Last Call","acquiring/process","0","0","1","0","0"
"","Refund Purchase","acquiring/refund","0","0","1","0","0"
"","Get Payment Instrument","payment_instruments/create","0","0","1","0","0"
"","Capture Transaction Negative Validation","acquiring/process","0","0","2","0","0"
"","Last Call","acquiring/last-call","0","0","1","0","0"
"","Refund Authorization","acquiring/process","0","0","1","0","0"
"","Void Authorization","acquiring/process","0","0","1","0","0"
"","Void Authorization Negative Validation","acquiring/void","0","0","2","0","0"
"","Get Payment Instrument","payment_instruments/get","0","0","1","0","0"
"","Partial Refund Purchase","acquiring/process","0","0","1","0","0"
"","Refund Authorization","acquiring/refund","1","0","0","0","0"
"","Refund Purchase","acquiring/process","0","0","2","0","0"
"","Transactions for EU","acquiring/refund","0","0","2","0","0"
"","Capture Authorization","acquiring/process","0","0","1","0","0"
"","Void Purchase","acquiring/process","0","0","1","0","0"
